Present_Tmax;LDAPS_RHmin;LDAPS_RHmax;LDAPS_Tmax_lapse;LDAPS_Tmin_lapse;LDAPS_WS;LDAPS_LH;LDAPS_CC1;LDAPS_CC2;LDAPS_CC3;LDAPS_CC4;LDAPS_PPT1;LDAPS_PPT2;LDAPS_PPT3;LDAPS_PPT4;lat;lon;DEM;Slope;Solar radiation;Next_Tmax
28,70;58,26;91,12;28,07;23,01;6,82;69,45;0,23;0,20;0,16;0,13;0,00;0,00;0,00;0,00;37,60;126,99;212,34;2,79;5992,90;29,10
31,90;52,26;90,60;29,85;24,04;5,69;51,94;0,23;0,25;0,16;0,13;0,00;0,00;0,00;0,00;37,60;127,03;44,76;0,51;5869,31;30,50
31,60;48,69;83,97;30,09;24,57;6,14;20,57;0,21;0,26;0,20;0,14;0,00;0,00;0,00;0,00;37,58;127,06;33,31;0,27;5863,56;31,10
32,00;58,24;96,48;29,70;23,33;5,65;65,73;0,22;0,23;0,16;0,13;0,00;0,00;0,00;0,00;37,65;127,02;45,72;2,53;5856,96;31,70
31,40;56,17;90,16;29,11;23,49;5,74;107,97;0,15;0,25;0,18;0,17;0,00;0,00;0,00;0,00;37,55;127,14;35,04;0,51;5859,55;31,20
31,90;52,44;85,31;29,22;23,82;6,18;50,23;0,19;0,28;0,23;0,15;0,00;0,00;0,00;0,00;37,51;127,04;54,64;0,15;5873,78;31,50
31,40;56,29;81,02;28,55;24,24;5,59;125,11;0,39;0,33;0,27;0,15;0,00;0,00;0,00;0,00;37,58;126,84;12,37;0,10;5849,23;30,90
32,10;52,33;78,00;28,85;23,82;6,10;42,01;0,36;0,34;0,27;0,14;0,00;0,00;0,00;0,00;37,47;126,91;52,52;1,56;5863,99;31,10
31,40;55,34;80,78;28,43;23,33;6,02;85,11;0,41;0,34;0,26;0,15;0,00;0,00;0,00;0,00;37,50;126,83;50,93;0,41;5876,90;31,30
31,60;56,65;86,85;27,58;22,53;6,52;63,01;0,35;0,31;0,25;0,14;0,00;0,00;0,00;0,00;37,46;126,96;208,51;5,18;5893,61;30,50
